Store Number,Store Name
4043,Gasland #102 / Burlington
4044,Kum & Go #713 / Burlington
4046,J and K Market
4049,No Frills Supermarkets / Glenwood
4050,Five Star Snacks and Liquor
4051,Fareway Stores #639 / Maquoketa
4052,Helle Hometown Variety
4057,Tequila's Liquor Store
4059,Belle Plaine Country Food
4062,H and A Mini Mart Corp
4066,Xpress Liquor
4067,Freeman Foods
4068,Sa Petro Mart
4069,Fareway Stores #648 / Ottumwa
4070,Grieder Beverage Depot
4071,Kellogg Country Store
4072,Famous Liquors
4073,"Uptown Liquor, Llc"
4075,Ali's West Side Liquor
4076,Sakar Liquor Store
4077,Xo Food And Liquor
4078,Prime Mart 4
4080,Five Corners Liquor and Win
4081,Harlan's Food Mart
4083,Fareway Stores #909 / Ankeny
4084,Fareway Stores #061 / Ankeny
4085,Save More Foods / Waterloo
4090,Mcelroy's Food Market
4091,Fareway Stores #705 / Clear Lake
4092,Fareway Stores #077 / Norwalk
4093,Hiway 20 Liquors / Fort Dodge
4094,Campustown Liquor
4095,City Liquor And Tobacco / Waterloo
4097,Schleswig Foods And Spirits
4098,Wal-Mart 1475 / Washington
4099,Chubbys Liquor
4101,Lucky Stop Inc.
4102,Fareway Stores #386 / Ames
4103,Fareway Stores #093 / Ames
4104,Fareway Stores #491 / Mason City
4105,Fareway Stores #426 / Nevada
4106,Hartig Drug Co. / JFK Rd / Dubuque
4107,Fareway Stores #384 / Boone
4108,Oasis Grocery and Liquor /
4109,Best Trip
4110,"Brothers Market, Inc."
4112,Corridor Ventures
4113,Tobacco Hut #6 / Council
4114,After 5 Somewhere
4115,Forest Market Convenience
4116,Lake View Foods
4117,Tobacco Shop / Arnolds Park
4118,Lake View Redemption Center
4119,Target Store T-2526 / Cedar Falls
4121,Newport Bp / Wapello
4125,Wapello Jack and Jill
4126,Sam's Mainstreet Market / Solon
4129,Cyclone Liquors
4130,"Boyd Grocery, Inc."
4131,Fareway Stores #933 / Urbandale
4132,Camanche Food Pride
4133,Mccoy's 1447
4134,Pleasantville Grocery
4135,Fareway Stores #925 / Altoona
4136,Fareway Stores #983 / Grimes
4137,Fareway Stores #989 / Waukee
4138,Fareway Stores #657 / Indianola
4139,University Groceries
4140,Fareway Stores #900 / Euclid
4141,Fareway Stores #975 / SE 22nd / DSM
4143,Bucky's
4144,"Liquor, Beer and Tobacco Outlet"
4146,Fareway Stores #561 / Waverly
4147,Fareway Stores #974 / Cedar Falls
4148,Fareway Stores #479 / Independence
4149,Fareway Stores #015 / Denison
4150,Fareway Stores #951 / Waterloo
4152,Food Land Super Markets / Missouri Valey
4153,Fareway Stores #067 / Evansdale
4154,Fareway Stores #055 / Hiawatha
4155,Fareway Stores #949 / Marion
4156,Fareway Stores #412 / Oelwein
4157,Fareway Stores #993 / North Liberty
4158,Fareway Stores #409 / Carroll
4159,Fareway Stores #073 / Council Bluffs
4160,Fareway Stores #034 / Iowa City
4161,Fareway Stores #950 / Iowa City
4162,Fareway Stores #963 / Cedar Rapids
4163,Fareway Stores #461 / Storm Lake
4164,Expo Mart / Bettendorf
4165,I-35 Spirits / Ankeny
4166,Jesup Food Center
4167,"Iowa Street Market, Inc."
4169,Super Quick 2 / Hubbell
4170,Dewey's Jack and Jill
4171,"Brothers Market, Inc. / Cascade"
4172,Shamrock Spirits
4173,L and K Liquor
4174,Cigarette Outlet #3 / Ft Madison
4176,Todds On The Go
4177,"Good Luck, Inc."
4180,Smokin' Joe's #10 Tobacco and Liquor Outlet
4181,Puff N Snuff
4182,Fareway Stores #008 / Dyersville
4183,Fareway Stores #589 / Decorah
4184,Fareway Stores #998 / Muscatine
4185,Fareway Stores #737 / Grinnell
4186,H and A Mini Mart / Phillips 66
4187,Jensen Liquor North
4188,"Main St. Market, Inc."
4189,Fareway Stores #594 / Manchester
4190,Fareway Stores #888 / Jefferson
4191,Fareway Stores #995 / Pella
4192,Fareway Stores #044 / Bettendorf
4193,Hartley Wine And Spirits
4194,Fareway Stores #848 / Newton
4195,Fareway Stores #792 / Toledo
4196,Fareway Stores #987 / Davenport
4197,Fareway Stores #014 / Sergeant Bluff
4200,Fareway Stores #019 / Sioux City
4201,Fareway Stores #022 / Sioux City
4202,Fareway Stores #829 / Sioux City
4203,Liquor and Tobacco Outlet /
4204,Fareway Stores #025 / Clinton
4205,Fareway Stores #467 / Marshalltown
4209,Wal-Mart 5748 / Grimes
