City,Population
Vinton,5148
Volga,205
Wadena,253
Wahpeton,343
Walcott,1636
Walford,1459
Walker,792
Wall Lake,795
Wallingford,187
Walnut,776
Wapello,2041
Washburn,876
Washington,7408
Washta,237
Waterloo,68460
Waterville,139
Waucoma,257
Waukee,18990
Waukon,3736
Waverly,10066
Wayland,969
Webb,138
Webster,72
Webster City,7814
Weldon,119
Wellman,1431
Wellsburg,699
Welton,160
Wesley,381
West Bend,759
West Branch,2337
West Burlington,3047
West Chester,149
West Des Moines,64113
West Liberty,3728
West Okoboji,295
West Point,962
West Union,2409
Westfield,129
Westgate,203
Westphalia,126
Westside,299
Westwood,112
What Cheer,622
Wheatland,733
Whiting,753
Whittemore,492
Whitten,149
Willey,101
Williams,335
Williamsburg,3195
Williamson,152
Wilton,2805
Windsor Heights,4889
Winfield,1142
Winterset,5176
Winthrop,849
Wiota,112
Woden,223
Woodbine,1422
Woodburn,200
Woodward,1503
Woolstock,163
Worthington,411
Wyoming,511
Yale,244
Yetter,33
Yorktown,83
Zearing,537
Zwingle,90
